frame_idx,x,y
0,732,693
1,725,675
2,694,633
3,692,579
4,690,566
5,696,556
6,716,528
7,690,452
8,633,348
9,620,359
10,626,370
11,625,375
12,619,379
13,286,376
14,292,367
15,360,377
16,478,390
17,551,329
18,582,326
19,573,322
20,613,296
21,634,282
22,645,255
23,655,232
24,656,232
25,654,229
26,650,227
27,645,232
28,640,245
29,591,278
30,552,372
31,482,381
32,434,383
33,505,405
34,765,504
35,732,489
36,709,464
37,680,455
38,653,440
39,623,432
40,617,440
41,617,440
42,392,412
43,303,357
44,368,344
45,494,332
46,550,328
47,638,323
48,686,249
49,691,250
50,717,224
51,738,200
52,752,189
53,760,175
54,761,158
55,746,130
56,737,125
57,737,358
58,638,589
59,624,600
60,572,637
61,536,643
62,483,651
63,419,655
64,327,651
65,779,694
66,740,695
67,720,674
68,712,664
69,665,650
70,663,640
71,664,631
72,668,623
73,678,616
74,682,618
75,689,621
76,644,651
77,646,652
78,650,655
79,652,662
80,653,662
81,655,667
82,655,670
83,193,638
84,197,634
85,245,622
86,260,615
87,264,597
88,262,575
89,236,559
90,229,527
91,229,506
92,230,496
93,416,491
94,756,608
95,743,652
96,728,651
97,720,654
98,718,656
99,724,605
100,719,590
101,719,589
102,714,580
103,710,572
104,708,569
105,695,576
106,656,596
107,655,589
108,656,600
109,659,608
110,654,615
111,654,616
112,654,619
113,523,632
114,575,448
115,566,474
116,569,475
117,570,473
118,731,465
119,732,451
120,735,429
121,734,422
122,732,418
123,779,409
124,778,409
125,778,403
126,776,399
127,774,401
128,772,402
129,770,402
130,769,404
131,769,404
132,769,406
133,768,406
134,768,385
135,765,385
136,761,383
137,757,384
138,757,385
139,756,386
140,756,388
141,759,392
142,771,395
143,771,395
144,767,397
145,765,399
146,763,398
147,761,399
148,760,400
149,759,403
150,759,403
151,763,403
152,765,403
153,768,403
154,603,430
155,604,442
156,607,454
157,574,459
158,584,463
159,579,462
160,613,463
161,687,391
162,686,388
163,684,385
164,685,386
165,631,424
166,567,438
167,564,462
168,566,472
169,558,488
170,558,490
171,327,488
172,170,455
173,245,418
174,390,395
175,469,382
176,466,377
177,465,380
178,464,382
179,461,383
180,452,382
181,451,382
182,444,379
183,615,414
184,768,741
185,744,731
186,704,716
187,684,715
188,742,714
189,741,707
190,731,673
191,721,649
192,711,636
193,710,634
194,682,629
195,678,635
196,683,627
